Cabang,Kategori Barang,Kode Barang,Nama Barang,Jenis Barang,Def. Hrg. Jual Satuan #1,Kts (Semua Gdng),Nilai Satuan,Nilai Total,KATEGORI PEMBAYARAN;
Klender,SPAREPART,108728,KYBRD LPT HP ELITEBOOK 830 G7,Persediaan,150000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108605,BUZER OPP A17,Persediaan,30000.0,2,20500.0,41000.0,CASH;
Klender,SPAREPART,108684,FLEXI NFC IPH XS MAX,Persediaan,90000.0,1,80000.0,80000.0,CASH;
Klender,SPAREPART,100139,FLFNG XIO REDMI NOTE 4X,Persediaan,20000.0,3,10000.0,30000.0,;
Klender,SPAREPART,108729,COVER LPT ASUS X441 CASING A+B,Persediaan,650000.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,AKRP-020,RAPA ADAPTOR CHARGER TYPE C APPLE MFI 25W black CH1070 FST,Persediaan,125000.0,0,0.0,0.0,KONSI;
Klender,SPAREPART,106684,KABEL FLEKSIBEL ASUS FA506,Persediaan,217822.5,0,0.0,0.0,;
Klender,AKSESORIS,AKRT-002,ROBOT USB HUB 4 PORT HIGH SPEED 5GBPS H160,Persediaan,98000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,100907,FLONF OPP JOY R1001,Persediaan,14000.0,0,0.0,0.0,;
Klender,AKSESORIS,AKRP-028,RAPA ADAPTOR CHARGER PORT USB + TYPE C POWER GAN 45W CH5120 FST,Persediaan,210000.0,0,0.0,0.0,KONSI;
Klender,AKSESORIS,AKRP-025,RAPA ADAPTOR CHARGER TYPE C APPLE MFI 20W CH5010 FST,Persediaan,110000.0,0,0.0,0.0,KONSI;
Klender,SPAREPART,100304,KEYBR LPT ASUS P144F,Persediaan,0.0,0,0.0,0.0,;
Klender,SPAREPART,106522,BCKDR INF HOT 10S,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,106566,ANKER 20W WALL CHARGER 2PORTS BLACK,Persediaan,165000.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,AKRP-002,RAPA TWS PORT CHARGER TYPE C RAPATECH AIR II BLACK TW1071 FST,Persediaan,175000.0,0,0.0,0.0,KONSI;
Klender,AKSESORIS,AKOR-009,ORAIMO CHARGER 20W GAN FASTER BLACK OCW-5201E,Persediaan,108000.0,0,0.0,0.0,KONSI;
Klender,SPAREPART,103261,LCD.. XIO REDMI NOTE 10 PRO 5G/ POCO X3 GT B,Persediaan,0.0,0,0.0,-1e-06,CASH;
Klender,SPAREPART,108360,REPAIR MESIN MACBOOK A1534,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,100779,BATER XIO REDMI NOTE 9 PRO /R. NOTE 10 PRO BN53 FST,Persediaan,155000.0,3,122434.930713,367304.792139,CASH;
Klender,SPAREPART,108365,LCD.. MI PAD 6,Persediaan,550000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108606,BATER SAM S23 FE ORI,Persediaan,250000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108498,KMRBK IPH 5 LIFE FUTURE/HX,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108367,BCKDR POCO F4 GT,Persediaan,50000.0,0,0.0,0.0,CASH;
